brand,model,exact_url,best_url,status,matched_file,note
AION,HYPTEC HT Premium,/cars/hyptechtpremium.jpg,/cars/hyptechtpremium.jpg,OK_EXACT,hyptechtpremium.jpg,
AION,HYPTEC HT Ultra,/cars/hyptechtultra.jpg,/cars/hyptechtultra.jpg,OK_EXACT,hyptechtultra.jpg,
AION,AION Y Plus Exclusive,/cars/aionyplusexclusive.jpg,/cars/aionyplusexclusive.jpg,OK_EXACT,aionyplusexclusive.jpg,
AION,AION Y Plus Premium,/cars/aionypluspremium.jpg,/cars/aionypluspremium.jpg,OK_EXACT,aionypluspremium.jpg,
AION,AION V Exclusive,/cars/aionvexclusive.jpg,/cars/aionvexclusive.jpg,OK_EXACT,aionvexclusive.jpg,
AION,AION V Luxury,/cars/aionvluxury.jpg,/cars/aionvluxury.jpg,OK_EXACT,aionvluxury.jpg,
AUDI,A5 2.0 TFSI,/cars/a520tfsi.jpg,/cars/a520tfsi.jpg,OK_EXACT,a520tfsi.jpg,
AUDI,A5 2.0 TFSI A/T SB,/cars/A5 2.0 TFSI AT SB.jpg,/cars/A5 2.0 TFSI AT SB.jpg,OK_EXACT,A5 2.0 TFSI AT SB.jpg,
AUDI,A4 2.0 TFSI A/T,/cars/A4 2.0 TFSI AT.jpg,/cars/A4 2.0 TFSI AT.jpg,OK_EXACT,A4 2.0 TFSI AT.jpg,
AUDI,Q3 1.4 TFSI A/T,/cars/Q3 1.4 TFSI AT.jpg,/cars/Q3 1.4 TFSI AT.jpg,OK_EXACT,Q3 1.4 TFSI AT.jpg,
AUDI,Q7 3.0 TFSI AT,/cars/Q7 3.0 TFSI AT.jpg,/cars/Q7 3.0 TFSI AT.jpg,OK_EXACT,Q7 3.0 TFSI AT.jpg,
AUDI,Q8 3.0 TFSI A/T,/cars/Q8 3.0 TFSI AT.jpg,/cars/Q8 3.0 TFSI AT.jpg,OK_EXACT,Q8 3.0 TFSI AT.jpg,
AUDI,Q5 2.0 TFSI AT,/cars/Q5 2.0 TFSI AT.jpg,/cars/Q5 2.0 TFSI AT.jpg,OK_EXACT,Q5 2.0 TFSI AT.jpg,
BAIC,X055 II,/cars/X055 II.jpg,/cars/X055 II.jpg,OK_EXACT,X055 II.jpg,
BAIC,X055 Prime,/cars/X055 Prime.jpg,/cars/X055 Prime.jpg,OK_EXACT,X055 Prime.jpg,
BAIC,X055 II Lite,/cars/X055 II LITE.jpg,/cars/X055 II LITE.jpg,OK_EXACT,X055 II LITE.jpg,
BAIC,BJ30 FWD,/cars/BJ30 FWD.jpg,/cars/BJ30 FWD.jpg,OK_EXACT,BJ30 FWD.jpg,
BAIC,BJ030 AWD,/cars/BJ030 AWD.jpg,/cars/BJ030 AWD.jpg,OK_EXACT,BJ030 AWD.jpg,
BAIC,BJ040 PLUS,/cars/BJ040 PLUS.jpg,/cars/BJ040 PLUS.jpg,OK_EXACT,BJ040 PLUS.jpg,
BAIC,BJ080,/cars/BJ080.png,/cars/BJ080.png,OK_EXACT,BJ080.png,
BMW,i7 xDrive60 Limousine RHD AT,/cars/i7 xDrive60 Limousine RHD AT.jpg,/cars/i7 xDrive60 Limousine RHD AT.jpg,OK_EXACT,i7 xDrive60 Limousine RHD AT.jpg,
BMW,CBU i4 eDrive35 Gran Coupe AT,/cars/CBU i4 eDrive35 Gran Coupe AT.jpg,/cars/CBU i4 eDrive35 Gran Coupe AT.jpg,OK_EXACT,CBU i4 eDrive35 Gran Coupe AT.jpg,
BMW,218 AT,,/cars/default.jpg,MISS,,
BMW,218i Gran Coupe,/cars/218i Gran Coupe.jpg,/cars/218i Gran Coupe.jpg,OK_EXACT,218i Gran Coupe.jpg,
BMW,218i Gran Coupe F74,/cars/218i Gran Coupe F74.jpg,/cars/218i Gran Coupe F74.jpg,OK_EXACT,218i Gran Coupe F74.jpg,
BMW,220i Coupe AT,/cars/220i Coupe AT.jpg,/cars/220i Coupe AT.jpg,OK_EXACT,220i Coupe AT.jpg,
BMW,320i CKD AT,/cars/320i CKD AT.jpg,/cars/320i CKD AT.jpg,OK_EXACT,320i CKD AT.jpg,
BMW,330i CKD B7 AT,/cars/330i CKD B7AT.jpg,/cars/330i CKD B7AT.jpg,OK_EXACT,330i CKD B7AT.jpg,
BMW,330I 62FY A/T,/cars/330I 62FY AT.jpg,/cars/330I 62FY AT.jpg,OK_EXACT,330I 62FY AT.jpg,
BMW,M2 Coupe RHD MX AT,/cars/M2 Coupe RHD MX AT.jpg,/cars/M2 Coupe RHD MX AT.jpg,OK_EXACT,M2 Coupe RHD MX AT.jpg,
BMW,M3 Competition M xDrive T AT,/cars/M3 Competition M xDrive T AT.jpg,/cars/M3 Competition M xDrive T AT.jpg,OK_EXACT,M3 Competition M xDrive T AT.jpg,
BMW,M4 CS A/T,/cars/M4 CS AT.png,/cars/M4 CS AT.png,OK_EXACT,M4 CS AT.png,
BMW,430i Convertible AT,/cars/430i Convertible AT.jpg,/cars/430i Convertible AT.jpg,OK_EXACT,430i Convertible AT.jpg,
BMW,430i AT,/cars/430i AT.jpg,/cars/430i AT.jpg,OK_EXACT,430i AT.jpg,
BMW,M4 Convertible Competition M xDrive 32HK AT,/cars/M4 Convertible Competition M xDrive 32HK AT.jpg,/cars/M4 Convertible Competition M xDrive 32HK AT.jpg,OK_EXACT,M4 Convertible Competition M xDrive 32HK AT.jpg,
BMW,M4 Coupe Competition M xDrive 42BA AT,/cars/M4 Coupe Competition M xDrive 42BA AT.jpg,/cars/M4 Coupe Competition M xDrive 42BA AT.jpg,OK_EXACT,M4 Coupe Competition M xDrive 42BA AT.jpg,
BMW,520i G60 CKD AT,/cars/520i G60 CKD AT.jpg,/cars/520i G60 CKD AT.jpg,OK_EXACT,520i G60 CKD AT.jpg,
BMW,530e,/cars/530e.jpg,/cars/530e.jpg,OK_EXACT,530e.jpg,
BMW,520i,/cars/520i.jpg,/cars/520i.jpg,OK_EXACT,520i.jpg,
BMW,i5 eDrive40,/cars/i5 eDrive40.jpg,/cars/i5 eDrive40.jpg,OK_EXACT,i5 eDrive40.jpg,
BMW,i5 M60 xDrive A/T,/cars/i5 M60 xDrive AT.jpg,/cars/i5 M60 xDrive AT.jpg,OK_EXACT,i5 M60 xDrive AT.jpg,
BMW,i5 eDrive40 (12HH) A/T,/cars/i5 eDrive40 (12HH) AT.jpg,/cars/i5 eDrive40 (12HH) AT.jpg,OK_EXACT,i5 eDrive40 (12HH) AT.jpg,
BMW,i7 M70 xDrive AT S,/cars/i7 M70 xDrive AT S.jpg,/cars/i7 M70 xDrive AT S.jpg,OK_EXACT,i7 M70 xDrive AT S.jpg,
BMW,735i Limousine RHD A/T,/cars/735i Limousine RHD AT.jpg,/cars/735i Limousine RHD AT.jpg,OK_EXACT,735i Limousine RHD AT.jpg,
BMW,735i Limousine RHD AT,/cars/735i Limousine RHD AT.jpg,/cars/735i Limousine RHD AT.jpg,OK_EXACT,735i Limousine RHD AT.jpg,
BMW,Z4 sDrive30i AT,/cars/Z4 sDrive30i AT.jpg,/cars/Z4 sDrive30i AT.jpg,OK_EXACT,Z4 sDrive30i AT.jpg,
BMW,Z4 M40i AT,/cars/Z4 M40i AT.jpg,/cars/Z4 M40i AT.jpg,OK_EXACT,Z4 M40i AT.jpg,
BMW,i440 Gran Coupe AT,/cars/i440 Gran Coupe AT.webp,/cars/i440 Gran Coupe AT.webp,OK_EXACT,i440 Gran Coupe AT.webp,
BMW,X1 sDrive18i U11 A7 AT,/cars/X1 sDrive18i U11 A7AT.jpg,/cars/X1 sDrive18i U11 A7AT.jpg,OK_EXACT,X1 sDrive18i U11 A7AT.jpg,
BMW,X1 sDrive18i,/cars/X1 sDrive18i.jpg,/cars/X1 sDrive18i.jpg,OK_EXACT,X1 sDrive18i.jpg,
BMW,X3 sDrive20i G01 CKD AT,/cars/X3 sDrive20i G01 CKD AT.jpg,/cars/X3 sDrive20i G01 CKD AT.jpg,OK_EXACT,X3 sDrive20i G01 CKD AT.jpg,
BMW,X3 xDrive 20i0G45,/cars/X3 xDrive 20i0G45.jpg,/cars/X3 xDrive 20i0G45.jpg,OK_EXACT,X3 xDrive 20i0G45.jpg,
BMW,iX2 xDrive30 A/T,,/cars/default.jpg,MISS,,
BMW,X3 xDrive30i G01 CKD AT,/cars/X3 xDrive30i G01 CKD AT.png,/cars/X3 xDrive30i G01 CKD AT.png,OK_EXACT,X3 xDrive30i G01 CKD AT.png,
BMW,CBU X3 20 xDrive AT 32GP S,/cars/CBU X3 20 xDrive AT 32GP S.jpg,/cars/CBU X3 20 xDrive AT 32GP S.jpg,OK_EXACT,CBU X3 20 xDrive AT 32GP S.jpg,
BMW,X4 xDrive30i RHD AT,/cars/X4 xDrive30i RHD AT.jpg,/cars/X4 xDrive30i RHD AT.jpg,OK_EXACT,X4 xDrive30i RHD AT.jpg,
BMW,X5,/cars/X5.jpg,/cars/X5.jpg,OK_EXACT,X5.jpg,
BMW,X5 xDrive40i G05 CKD AT,/cars/X5 xDrive40i G05 CKD AT.jpg,/cars/X5 xDrive40i G05 CKD AT.jpg,OK_EXACT,X5 xDrive40i G05 CKD AT.jpg,
BMW,X6 xDrive40i M Sport A/T,/cars/X6 xDrive40i M Sport AT.jpg,/cars/X6 xDrive40i M Sport AT.jpg,OK_EXACT,X6 xDrive40i M Sport AT.jpg,
BMW,X7 xDrive40i G07 CKD AT,/cars/X7 xDrive40i G07 CKD AT.jpg,/cars/X7 xDrive40i G07 CKD AT.jpg,OK_EXACT,X7 xDrive40i G07 CKD AT.jpg,
BMW,iX xDrive40 AT,,/cars/default.jpg,MISS,,
BMW,XM AT,/cars/XM AT.jpg,/cars/XM AT.jpg,OK_EXACT,XM AT.jpg,
BMW,XM 50e AT,/cars/XM 50e AT.webp,/cars/XM 50e AT.webp,OK_EXACT,XM 50e AT.webp,
BMW,XM Label AT,/cars/XM Label AT.jpg,/cars/XM Label AT.jpg,OK_EXACT,XM Label AT.jpg,
BMW,iX1 eDrive20 A/T,,/cars/default.jpg,MISS,,
BMW,iX xDrive50,/cars/iX xDrive50.jpg,/cars/iX xDrive50.jpg,OK_EXACT,iX xDrive50.jpg,
BYD,Seal Dynamic,/cars/Seal Dynamic.jpg,/cars/Seal Dynamic.jpg,OK_EXACT,Seal Dynamic.jpg,
BYD,Seal Premium Extended Range,/cars/Seal Premium Extended Range.jpg,/cars/Seal Premium Extended Range.jpg,OK_EXACT,Seal Premium Extended Range.jpg,
BYD,Seal Performance,/cars/Seal Performance.jpg,/cars/Seal Performance.jpg,OK_EXACT,Seal Performance.jpg,
BYD,Atto 3 Advanced Standard Range,/cars/Atto 3 Advanced Standard Range.jpg,/cars/Atto 3 Advanced Standard Range.jpg,OK_EXACT,Atto 3 Advanced Standard Range.jpg,
BYD,Atto 3 Superior Extended Range,/cars/Atto 3 Superior Extended Range.jpg,/cars/Atto 3 Superior Extended Range.jpg,OK_EXACT,Atto 3 Superior Extended Range.jpg,
BYD,Dolphin Dynamic Standard Range,/cars/Dolphin Dynamic Standard Range.jpg,/cars/Dolphin Dynamic Standard Range.jpg,OK_EXACT,Dolphin Dynamic Standard Range.jpg,
BYD,Dolphin Premium Standard Range,/cars/Dolphin Premium Standard Range.jpg,/cars/Dolphin Premium Standard Range.jpg,OK_EXACT,Dolphin Premium Standard Range.jpg,
BYD,M6 Superior Captain,/cars/M6 Superior Captain.jpg,/cars/M6 Superior Captain.jpg,OK_EXACT,M6 Superior Captain.jpg,
BYD,M6 Superior,/cars/M6 Superior.jpg,/cars/M6 Superior.jpg,OK_EXACT,M6 Superior.jpg,
BYD,M6 Standard,/cars/M6 Standard.jpg,/cars/M6 Standard.jpg,OK_EXACT,M6 Standard.jpg,
BYD,E6 GS020,/cars/E6 GS020.jpg,/cars/E6 GS020.jpg,OK_EXACT,E6 GS020.jpg,
BYD,Sealion 7 Premium,/cars/Sealion 7 Premium.jpg,/cars/Sealion 7 Premium.jpg,OK_EXACT,Sealion 7 Premium.jpg,
BYD,Sealion 7 Performance,/cars/Sealion 7 Performance.jpg,/cars/Sealion 7 Performance.jpg,OK_EXACT,Sealion 7 Performance.jpg,
CHERY,Tiggo Cross CSH,,/cars/default.jpg,MISS,,
CHERY,Tiggo 7 Premium,/cars/Tiggo 7 Premium.jpg,/cars/Tiggo 7 Premium.jpg,OK_EXACT,Tiggo 7 Premium.jpg,
CHERY,Tiggo 7 Luxury,/cars/Tiggo 7 Luxury.jpg,/cars/Tiggo 7 Luxury.jpg,OK_EXACT,Tiggo 7 Luxury.jpg,
CHERY,Tiggo 7 Comfort,/cars/Tiggo 7 Comfort.jpg,/cars/Tiggo 7 Comfort.jpg,OK_EXACT,Tiggo 7 Comfort.jpg,
CHERY,Tiggo 9 Csh Fwd,/cars/Tiggo 9 Csh Fwd.jpg,/cars/Tiggo 9 Csh Fwd.jpg,OK_EXACT,Tiggo 9 Csh Fwd.jpg,
CHERY,Omoda 5 Z,/cars/Omoda 5 Z.jpg,/cars/Omoda 5 Z.jpg,OK_EXACT,Omoda 5 Z.jpg,
CHERY,Omoda 5 Gt,/cars/Omoda 5 Gt.jpg,/cars/Omoda 5 Gt.jpg,OK_EXACT,Omoda 5 Gt.jpg,
CHERY,Omoda 5 Z (Facelift),/cars/Omoda 5 Z (Facelift).png,/cars/Omoda 5 Z (Facelift).png,OK_EXACT,Omoda 5 Z (Facelift).png,
