brand,model,exact_url,best_url,status,matched_file,note
BMW,218 AT,,/cars/default.jpg,MISS,,
BMW,iX2 xDrive30 A/T,,/cars/default.jpg,MISS,,
BMW,iX xDrive40 AT,,/cars/default.jpg,MISS,,
BMW,iX1 eDrive20 A/T,,/cars/default.jpg,MISS,,
CHERY,Tiggo Cross CSH,,/cars/default.jpg,MISS,,
CHERY,Tiggo Cross  Premium,,/cars/default.jpg,MISS,,
CHERY,Tiggo Cross  Sport,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max MB 1.3 HI  FF,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.3 STD,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.3 30WAY,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.3 Deckless,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.3 Gateless,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.5 STD,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.5 STD AC PS,,/cars/default.jpg,MISS,,
DAIHATSU,Gran Max PU 1.5 30WAY,,/cars/default.jpg,MISS,,
DFSK,GELORA EC35 BLIND VAN (4X2) A/T,,/cars/default.jpg,MISS,,
DFSK,GELORA EC36 MINI BUS 1.5 (4X2) A/T,,/cars/default.jpg,MISS,,
HONDA,All New Veloz 1.5 2021,,/cars/default.jpg,MISS,,
HYUNDAI 0 HMID,Creta FL Active 1.5 MT,,/cars/default.jpg,MISS,,
HYUNDAI 0 HMID,Creta FL Trend 1.5 MT,,/cars/default.jpg,MISS,,
HYUNDAI 0 HMID,Creta FL Trend 1.5 IVT,,/cars/default.jpg,MISS,,
LEXUS,"LBX Sport 1,5 Cvt HEV",,/cars/default.jpg,MISS,,
MAZDA,MX 5 RF AT,,/cars/default.jpg,MISS,,
MERCEDES BENZ PC,A 200 Sedan (V177),,/cars/default.jpg,MISS,,
MERCEDES BENZ PC,AMG CLA 45 S (C118),,/cars/default.jpg,MISS,,
MERCEDES0BENZ PC,EQS 450+ (V297),,/cars/default.jpg,MISS,,
MINI,Countryman S ALL4 A/T,,/cars/default.jpg,MISS,,
MINI,Countryman S All4 A7 At,,/cars/default.jpg,MISS,,
MITSUBISHI MOTORS,Destinator 1.5L Exceed (4X2) A/T,,/cars/default.jpg,MISS,,
MITSUBISHI MOTORS,Xforce Ultimate 1.5L 4X2 A/T,,/cars/default.jpg,MISS,,
MITSUBISHI MOTORS,Xforce Exceed 1.5L 4X2 A/T,,/cars/default.jpg,MISS,,
MITSUBISHI MOTORS,Pajero Sport 2.4L DAKAR Utimate (4x2) 8AT,,/cars/default.jpg,MISS,,
MITSUBISHI MOTORS,L300 D P/U FLD,,/cars/default.jpg,MISS,,
NISSAN,Terra VL 2.5 AT 4x4,,/cars/default.jpg,MISS,,
SUBARU,BRZ 2.4 MT (ZD8),,/cars/default.jpg,MISS,,
SUBARU,BRZ 2.4 AT ES (ZD8),,/cars/default.jpg,MISS,,
SUBARU,WRX SEDAN 2.4 MT (VBH),,/cars/default.jpg,MISS,,
SUBARU,WRX SEDAN 2.4 MT tS (VBH),,/cars/default.jpg,MISS,,
SUBARU,WRX SEDAN 2.4 AT tS ES (VBH),,/cars/default.jpg,MISS,,
SUZUKI,XL07  Beta Hybrid MT,,/cars/default.jpg,MISS,,
SUZUKI,XL07 Beta Hybrid AT,,/cars/default.jpg,MISS,,
TOYOTA,Supra 3.0 AT,,/cars/default.jpg,MISS,,
TOYOTA,GR Supra 3.0 AT,,/cars/default.jpg,MISS,,
TOYOTA,Corolla Cross 1.8 A/T Hev,,/cars/default.jpg,MISS,,
TOYOTA,Corolla Cross 1.8 A/T Hev Gr Sport,,/cars/default.jpg,MISS,,
TOYOTA,Voxy 2.0 AT,,/cars/default.jpg,MISS,,
TOYOTA,GR Yaris 1.6 AT,,/cars/default.jpg,MISS,,
TOYOTA,Fortuner Srz 2.7 A/T Imp 2024,,/cars/default.jpg,MISS,,
TOYOTA,New Fortuner Vrz 2.8 AT 2022,,/cars/default.jpg,MISS,,
WULING,Cortez 1.5S MT,,/cars/default.jpg,MISS,,
WULING,Formo Max 1.5 MT,,/cars/default.jpg,MISS,,
